Sentence,"kaya - [0: 'kayà', 1: 'kayâ', 2: 'káya']",,
Kumikita siya ng higit na pera kaysa sa kaya niyang gastusin.,2,,He earns more money than he can spend.
Kung bukas kaya?,1,,If tomorrow is it open?
"Kung hindi mo magawa ang gusto mo, ginagawa mo ang anong kaya mo.",2,,"If you can't do what you want, you do what you can."
Kung kaya hindi ako dumating kahapon.,1,,So I didn't come yesterday.
Kung kaya ko lang lumipad!,2,,If only I could fly!
"Kung kaya lang magmahal ni Satanas, hindi na siya magiging masama.",2,,"If Satan just loved it, he wouldn't be bad."
"Kung kaya mo, buhatin mo.",2,,"If you can, lift it."
"Kung kaya mo, gisingin mo siya.",2,,"If you can, wake him up."
"Kung kaya mo, iangat mo.",2,,"If you can, lift it."
"Kung kaya mo, itaas mo.",2,,"If you can, lift it."
"Kung kaya ninyong basahin ang pangungusap na ito, marunong kayong magbasa.",2,,"If you can read this sentence, you can read."
Kung sa Biyernes kaya?,1,,If on Friday so?
"Kuryoso si Tom, kaya niya binuksan ang kaha.",1,,"Tom was curious, so he opened the box."
"Kuryoso si Tom, kaya niya binuksan ang kahon.",1,,"Tom was curious, so he opened the box."
"Lahat ng tao ay mortal, lahat ng Griyego ay tao, kaya, lahat ng Griyego ay mortal.",1,,"Everyone is mortal, all Greek is human, so, all Greek is mortal."
"Maagang namatay ang mga magulang niya, kaya ang lola niya ang nagsilbing gabay niya.",1,,"Her parents died early, so her grandmother served as her guide."
"Madilim na, kaya umuwi na ako sa bahay.",1,,"It was dark, so I went home."
"Madilim, kaya tingnan ang dinadaanan.",1,,"It was dark, so look at the road."
Magbidyugeym tayo o kaya ano.,1,,Let's go to bed or what.
Maghapunan kaya tayo sa labas?,1,,Can we have dinner outside?
Magiging maganda kaya ang panahon ngayon?,1,,Will the weather be good today?
Magiging masaya ako kapag dumating ang panahong kaya ko nang ipahayag ang nararamdaman ko sa Ingles.,2,,I will be happy when the time comes when I can express my feelings in English.
Magkano kaya ang kinikita ng isang eksorsista?,1,,How much does an exorsist earn?
Magkano kaya ang PS4 kapag inilabas na ito?,1,,How much is PS4 when it is released?
Magkasintahan kaya sina Tom at Mary?,1,,Are Tom and Mary dating?
Maglakad kaya tayo sa estasyon?,1,,Can we walk to the station?
Magmiting kaya tayo ngayon?,1,,Are we going to meet now?
Magpatingin ka na kaya sa doktor.,1,,You can see the doctor.
"Mahilig siyang gumawa ng tsismis, kaya marami siyang kalaban.",1,,"He loves to make gossip, so he has many opponents."
"Maingat na maingat siya, kaya hindi siya madalas nagkakamali.",1,,"She was very careful, so she didn't make a mistake often."
"Mainit, kaya binuksan ko ang bintana.",1,,"It was hot, so I opened the window."
Malaki ang tsansang hindi iyan kaya ni Tom.,2,,There is a great chance that Tom can't do that.
Malaki ang tsansang hindi iyon kaya ni Tom.,2,,There is a great chance that Tom can't handle it.
"Malamig sa taglamig, kaya namin binubuksan ang kalan.",1,,"Cold in winter, so we open the stove."
"Malamig sa taglamig, kaya namin sinisindihan ang kalan.",1,,"It's cold in winter, so we light the stove."
"Malamig sa taglamig, kaya natin binubuksan ang kalan.",1,,"It's cold in winter, so we're opening the stove."
"Malamig sa taglamig, kaya natin sinisindihan ang kalan.",1,,"It's cold in winter, so we light the stove."
"Malawak ang teritoryo ng Tsina, kaya iba-iba ang uri ng tsaa.",1,,"China's territory is extensive, so tea types are different."
"Mali ka, kaya huwag kang sumigaw.",1,,"You're wrong, so don't cry."
"Malubha ang pagbibitak-bitak ng aking mga kamay, kaya kailangan kong gumamit ng gomang guwantes sa tuwing maghuhugas o maglalaba ako.",1,,"My hands were so tight, so I had to use rubber gloves every time I washed or washed."
"Marami akong ininom na kape kanina, kaya malamang hindi ako makakatulog nang maayos mamayang gabi.",1,,"I drank a lot of coffee earlier, so I probably won't be able to sleep well tonight."
"Mas magaling kaya kung ang Artipisyal na Intelihensiya, ang AI, ang gumawa ng panibagong lengguwahe para sa tao.",1,,"It would be best if the artificial intelligence, the AI, created a new language for man."
"Matanda na kayo, kaya gusto ninyong ako rin ay matanda na. May sakit kayo.",1,,"You're old, so you want me to be old too. You are sick."
"May hawak siyang palakol, kaya tinakasan ko siya.",1,,"He was holding an ax, so I ran away."
"May hawak siyang palakol, kaya tinakbuhan ko siya.",1,,"He was holding an ax, so I ran to him."
May kaya kami.,1,,We can do it.
May kaya siya siguro noon.,1,,He could have been there before.
May kaya tayo.,2,,We can do it.
May kilala yata akong kaya kang tulungan diyan.,1,,I know you can help you there.
May mga tao kaya na hindi marunong kahit isang salitang Ingles?,1,,Are there people who don't know even an English word?
"May pinagkakaabalahan ako, kaya hindi ako makakapunta.",1,,"I have something to worry about, so I can't go."
"May sakit siya, kaya matahimik sila.",1,,"She was sick, so they were quiet."
"Mayroon pong Diyos, kaya lang nakalimutan niya ang password.",1,,"There is a God, so he just forgot the password."
"Mayroong Diyos, kaya lang nakalimutan niya ang password.",1,,"There is God, so he just forgot the password."
"Mayroong inhibitor sa inyong utak na nagpapalagay sa inyong ako ay isang normal na tao, kaya maaari akong maglakad sa gitna ng mga tao.",1,,"There is an inhibitor in your brain that assumes you I am a normal person, so I can walk among the people."
"Metamodernong estilo ang aking pagsusulat sa Tagalog at Ingles, kaya iba sa ibang tao.",1,,"My writing is a metamodern style in Tagalog and English, so different from other people."
"Mukha kayong matanda, kaya gusto ninyong tumanda ang bata.",1,,"You look old, so you want the kid to grow old."
Mukhang naniniwala talaga si Tom na kaya niya iyon.,2,,Tom really believes he can do that.
Mukhang naniniwala talaga si Tom na kaya niyang gawin iyan.,2,,Tom really believes he can do that.
Mukhang naniniwala talaga si Tom na kaya niyang gawin iyon.,2,,Tom really believes he can do that.
Na-bundol sya ng kotse kaya siya na-ospital.,1,,He was bored of a car so he was hospitalized.
"Nadapa ako habang tumatakbo, kaya ako nagkasugat.",1,,"I fell down while I was running, so I got hurt."
"Nadapa ako habang tumatakbo, kaya ako nagkasugat.",1,,"I fell down while I was running, so I got hurt."
"Nadapa ako habang tumatakbo, kaya ako nagkasugat.",1,,"I fell down while I was running, so I got hurt."
Nag-iisip ako kaya nandito ako.,1,,I was thinking so I was here.
Nagtutulug-tulogan lamang siya kaya hindi siya humihilik.,1,,She was just so sleepy that she didn't cry.
Nagugutom ako kaya pumunta ako sa isang kainan.,1,,I was hungry so I went to a diner.
Nagugutom ako kaya pumunta ako sa isang restawran.,1,,I was hungry so I went to a restaurant.
"Nahiya akong magsalita, kaya tumango na lang ako.",1,,"I was embarrassed to speak, so I just nodded."
"Naiintindihan niya ang hindi maintindihan ng iba, kaya tinagurian siyang baliw.",1,,"He understood what others could not understand, so he was called mad."
"Naiwan mo ang ID mo sa bahay, kaya hindi ka makakapasok.",1,,"You left your ID at home, so you can't get in."
"Naiwanan ni Tom na nakabukas ang pinto ng ref, kaya ko isinara.",1,,"Tom left the refrigerator open, so I closed it."
"Nakabilanggo ang tao sa daigdig na ito, kaya kailangan ang pagsasaliksik sa kalawakan.",1,,"Man is imprisoned in this world, so research is needed in space."
"Nakita ko ang repleksiyon ni Tom sa salamin, kaya binati ko siya.",1,,"I saw Tom's reflection in the mirror, so I greeted him."
"Naliliitan nga ako sa ating planetang Tiyera. Sang-ayon ako sa pangarap ni Elon Musk na maging ""makaespasyong sibilisasyon at multiplanetaryong espesye"" ang sangkatauhan. Ano kaya ang kondisyon ng sangkatauhan sa harap ng abansadong Artipisyal na Intelihensiya, bagaman? Tutulong ba o mang-aalipin?",1,,"I am very close to our planet. I agree with Elon Musk's dream that mankind will be ""special civilization and multiplanetary species."" What is the condition of mankind in the face of abnrete artificial intelligence, though? Will it help or slave?"
"Nanalo kami ngayon, kaya tapos na ang sunod-sunod na pagkatalo namin.",1,,"We won today, so our defeat was over."
"Nanalo tayo ngayon, kaya tapos na ang sunod-sunod na pagkatalo natin.",1,,"We win now, so our defeat is over."
"Nang maaraw na umaga nang ika-17 ng Setyembre ng 2023, nasa Istarbak akong kumakain ng sanwits na salsitsas, kesong cheddar, at itlog nang may kasamang puting abenang gatas na may yelo. Sa mesa sa labas ng bintana ay si Marlin, yaong Pilipina, at si Les, yaong Haponesa, parehong naghahamburger sa umaga. Nasa loob naman si Dennis, yaong Tsino-Alemang mestisong naglalaro ng kanyang Sudoku, o kaya KenKen. Dumating si Greg na Pilipino. Binili niya ako ng mga mansanas na tsip. May kape siya at sanwits na beckon, Gouda, at itlog. Pinag-usapan namin ang wikang Ingles. Sang-ayon kaming hindi mabisang internasyonal na wika ang Ingles dahil hindi talagang mabigkas ng ibang etniko. Sabi kong mas marami ang mga basikong tunog o ponema sa Ingles na talagang hindi magkasiya sa 26 na letra lamang. Ang mga barista ngayon ay si Chelsea, yaong Mandaring Tsina, si Sarah, yaong Anglo-Sahona, at si Nabhi, yaong Taga-Indiyang mukhang Latina. Sa tema ng araw, ang numerong 17 at ang kulay-abo o itim ay naging mga simbolo ng Tagalog.",1,,"On the sunny morning on September 17th of 2023, I was on the sting of a salted sandwich, cheddar cheese, and eggs with a white milk-haired milk. At the table outside the window are Marlin, the Filipino, and Les, the Japanese, both in the morning. Dennis, the Chinese-Gallete, is in the middle of a metist playing his Sudoku, or Kenken. Greg came to the Filipino. He bought me apple tsip. He has coffee and sandwich, gouda, and eggs. We talked about the English language. We agree that English is not an effective international language because other ethnicity does not really pronounce it. I say there are more basic sounds or phonemes in English that really don't fit in with only 26 letters. The barists today are Chelsea, the Mandaring China, Sarah, the Anglo-Sahona, and Nabhi, the Indian Latin. In the theme of the day, the number 17 and the gray or black became Tagalog symbols."
"Nang mainit at maaraw na umaga, pasado nang alas 7, ng ika-16 ng Mayo ng 2023, naroon ako sa tsaahan para isang baso ng mayelong itim na tsaa. Lakad ako. Sa tsaahan, naroon si Chen na Intsik. Marami ngang Intsik ay may lahing Turkik o Karagatning Europeo nang matagal na, kaya mukha silang siyopaw. Sa tsaahan, naroon din ang mestisong Aleman-Intsik na si Dennis na nagsu-Sudoku sa mesang may mga de-kolor na pensil. Sa labas, sa naaarawang bangko sa tabi ng mga puno, nakaupo si Michael na Danes-Pranses at si Bernard na puting Taga-Timog Aprika. Binati nila ako mula sa malayo.",1,,"In the hot and sunny morning, past 7 o'clock on May 16, 2023, I was in the tea for a glass of black tea. I'm going. In the tea, Chen was there Chinese. Many Chinese have a Turkik or European Oceats for a long time, so they look like they are. In the Taahan, German-Chinese Dennis was also present, who had a pensil-colored desk. Outside, at the bank next to the trees, Michael sat Danes-French and Bernard white South Africa. They greeted me from afar."
"Nangangati ang buong katawan ng bata, kaya hindi niya mapigilang magkamot.",1,,"The whole body of the child was itching, so he couldn't help but be treated."
"Nangangati ang singit ni Tonyo, kaya kinamot niya nang patago.",1,,"Tonyo's groin was itching, so he shook his head."
"Naniniwala ka bang kaya mo ito, Tom?",1,,"Do you believe you can do this, Tom?"
"Naniniwala ka bang kaya mo iyan, Tom?",1,,"Do you believe that you can do that, Tom?"
"Naniniwala ka bang kaya mo iyon, Tom?",2,,"Do you believe that you can do that, Tom?"
Naniniwala siyang kaya niyang ipakita.,2,,He believes he can show.
Naniniwala siyang kaya niyang patunayan.,1,,He believes he can prove.
Nanligaw si Tom kaya Mary.,1,,Tom was cheating so Mary.
Napakadali ng problemang ito na kaya itong sagutin ng kahit sinong estudyante.,2,,This problem is so easy that any student can answer it.
Napakadali ng problemang ito na kaya itong sagutin ng kahit sinong mag-aaral.,2,,This problem is so easy that any student can answer it.
Napakadilim ng kuwarto kaya wala akong makita.,1,,The room was so dark that I couldn't see anything.
Napakadilim ng silid kaya wala akong makita.,1,,The room was so dark that I couldn't see anything.
Napakalamig kagabi kaya nanatili lang ako sa bahay.,1,,It was so cold last night that I just stayed home.
Napakasarap ng tulog ko kaya hindi ko namalayang naihi ako sa aking higaan.,1,,I was so sleepy that I didn't realize I was in bed.
"Narito pa ang bag niya, kaya hindi maaaring nakapunta na siya ng paaralan.",1,,"Her bag is still here, so she can't go to school."
Nasaan kaya ang itim na pusa?,1,,Where is the black cat?
Nasaan kaya si Tom at sino ang kasama niya?,1,,Where was Tom and who was with him?
Nasaan na kaya ngayon ang patupat ko?,1,,Where can I go now?
"Nasira ang paanan ng pangunahing haligi, kaya gumuho ang buong templo.",1,,"The foot of the main column was damaged, so the whole temple collapsed."
"Nasira ang paanan ng pangunahing haligi, kaya gumuho ang buong templo.",1,,"The foot of the main column was damaged, so the whole temple collapsed."
"Nasira ang paanan ng pangunahing haligi, kaya gumuho ang buong templo.",1,,"The foot of the main column was damaged, so the whole temple collapsed."
"Nasira ang paanan ng pangunahing haligi, kaya gumuho ang buong templo.",1,,"The foot of the main column was damaged, so the whole temple collapsed."
"Nasira ang telebisyon ko, kaya kinailangan kong ipaayos.",1,,"My television was broken, so I had to fix it."
"Nasira ang telebisyon ko, kaya kinailangan kong ipagawa.",1,,"My television was broken, so I had to do it."
"Nasira ang telebisyon ko, kaya kinailangan kong ipakumpuni.",1,,"My television was broken, so I had to repair it."
Naubusan na siya ng laway kaya sa pamamagitan na lang ng ekspresyon sa mukha siya nakikipag-usap.,1,,She had run out of saliva so she had just expression on her face.
"Ngunit ang ugali ng galaksiya ay hindi malungkot ngunit masaya. Ang simbiyosis ay lubos na nagpabuti sa sining ng telepatikong komunyon; at ngayon, sa wakas, ang maraming uri ng espiritung bumubuo sa galaksiyang lipunan ay mahigpit na nakagapos sa pagkakaunawaan sa isa't isa kung kaya't lumitaw mula sa kanilang magkakatugmang pagkakaiba-iba ang isang tunay na galaksiyang pag-iisip, na ang pag-abot ng kaisipan ay nalampasan ng mga bituin at mga mundo hanggang sa mga itong nilagpasan ang kanilang sariling mga indibidwal.",1,,"But the habit of galaxy is not sad but happy. Symbolism has greatly improved the art of telepathic communion; And now, in the end, the many kinds of spirit that make up the society's galaxy are strictly bound to understand each other so that a true delightful mind emerges from their harmony The thoughts have been exceeded by the stars and the worlds until they have passed their own individuals."
"Ngunit ang ugali ng galaksiya ay hindi malungkot ngunit masaya. Ang simbiyosis ay lubos na nagpabuti sa sining ng telepatikong komunyon; at ngayon, sa wakas, ang maraming uri ng espiritung bumubuo sa galaksiyang lipunan ay mahigpit na nakagapos sa pagkakaunawaan sa isa't isa kung kaya't lumitaw mula sa kanilang magkakatugmang pagkakaiba-iba ang isang tunay na galaksiyang pag-iisip, na ang pag-abot ng kaisipan ay nalampasan ng mga bituin at mga mundo hanggang sa mga itong nilagpasan ang kanilang sariling mga indibidwal.",1,,"But the habit of galaxy is not sad but happy. Symbolism has greatly improved the art of telepathic communion; And now, in the end, the many kinds of spirit that make up the society's galaxy are strictly bound to understand each other so that a true delightful mind emerges from their harmony The thoughts have been exceeded by the stars and the worlds until they have passed their own individuals."
"Ngunit ang ugali ng galaksiya ay hindi malungkot ngunit masaya. Ang simbiyosis ay lubos na nagpabuti sa sining ng telepatikong komunyon; at ngayon, sa wakas, ang maraming uri ng espiritung bumubuo sa galaksiyang lipunan ay mahigpit na nakagapos sa pagkakaunawaan sa isa't isa kung kaya't lumitaw mula sa kanilang magkakatugmang pagkakaiba-iba ang isang tunay na galaksiyang pag-iisip, na ang pag-abot ng kaisipan ay nalampasan ng mga bituin at mga mundo hanggang sa mga itong nilagpasan ang kanilang sariling mga indibidwal.",1,,"But the habit of galaxy is not sad but happy. Symbolism has greatly improved the art of telepathic communion; And now, in the end, the many kinds of spirit that make up the society's galaxy are strictly bound to understand each other so that a true delightful mind emerges from their harmony The thoughts have been exceeded by the stars and the worlds until they have passed their own individuals."
Nilalamig kaya sina Tom at Mary?,1,,Are Tom and Mary cool?
"Noong huling kinausap ko si Michael na Tsino, sabi ko'y sa Pransiya, importante sa mga Pranses ang mga pintura at dekorasyon, ang mga kulay-kulay, at saka ""kulay"" din sa kanila ang amoy, kaya nagpapabango palagi sila at ang mga kuwarto ay amoy ng perpume.",1,,"When I last spoke to Michael Chinese, I said in France, the French and the decorations were important to the French, the colors, and the ""colors"" of them also smelled, so they always smelled and the ones they and the The room smells of perpeuse."
"Noong kinausap ko si Bob, sabi ko'y wala pa siyang puntong Britaniko. Naranasan kong ang ibang nagpuntang Awstralya kaya ay nalalaninan ng kanilang diyalekto. Natututo raw si Bob ng mga bagong salita sa Inglatera.",1,,"When I talked to Bob, I said he had no British point yet. I have experienced others who have come to the audience so they are recognized by their dialect. Bob is learning new words in England."
Noong nakaraang linggo nasira ang ref namin kaya napilitan kaming kumain ng maraming ice cream.,1,,Last week our refrigerator was damaged so we were forced to eat lots of ice cream.
Noong nakaraang linggo nasira ang ref namin kaya napilitan kaming kumain ng maraming sorbetes.,1,,Last week our refrigerator was damaged so we were forced to eat many ice cream.
"Noong umaga nang ika-29 ng Agosto ng 2022 sa Isla Lulung kapihan, pinag-usapan namin ni Greg tungkol sa relihiyon. Interesado siya sa mga Hudyo. Sabi kong marami silang literatura, katulad ng Torah, Babilonyang Talmud, at Herusalem na Talmud. Ang Talmud ay sagradong komentarya. Sabi ko kay Greg na maraming Pilipino ay may lahing Hudyo dahil maraming Kastilang kolonista ay mga ""converso"" o kaya Kripto-Hudyo o mga anak o apo ng mga ito. Ang mga Kripto-Hudyo ay tinatago ang relihiyon nila, at Romano Katoliko sila sa labas. Sabi ni Greg na ang pinakaunang relihiyon ay Hudaismo, pero sabi ko naman ay Animismo iyon, ang ugat ng Hudaismong dumaan pa sa Henoteismo, yaong paniwalang may diyos na sarili ang tribu ng tao, pero may ibang diyos ang iba-ibang tribu. Sabi ni Greg na katulad sa Islam, ang Diyos sa Hudaismo ay hindi bumaba sa Lupa at naging tao. Iba ang Kristiyanismo.",1,,"On the morning of August 29th of 2022 on the island of Kapihan, Greg and I talked about religion. He was interested in Jews. I say they have a lot of literature, such as Torah, Babylonian Talmud, and Jerusalem Talmud. Talmud is a sacred commentary. I tell Greg that many Filipinos have Jewish descent because many Spanish colonists are ""conversations"" or cry-Jews or children or grandchildren. Crymilities are hiding their religion, and they are Roman Catholics outside. Greg says that the first religion is Judaism, but I say that it is animism, the root of the Judaism that goes through the genius, that believes that God is the human tribe, but there are other gods of different tribes. Greg says that as in Islam, God in Judaism did not come down to earth and become human. Christianity is different."
"Oo, kaya naming magbago.",2,,"Yes, we can change."
"Oo, kaya nating magbago.",2,,"Yes, we can change."
"Opo, kaya naming magbago.",2,,"Yes, we can change."
"Opo, kaya nating magbago.",2,,"Yes, we can change."
"Paano ba mang-akit ng mga bagong kliyente para isang maliit na negosyo, at paano kaya sila mapapanatili?",1,,"How to attract new clients for a small business, and how can they be maintained?"
"Paano ba mang-akit ng mga bagong mamimili para isang maliit na negosyo, at paano kaya sila mapapanatili?",1,,"How to attract new buyers for a small business, and how can they be maintained?"
"Paano ba mang-akit ng mga bagong parokyano para isang maliit na negosyo, at paano kaya sila mapapanatili?",1,,"How to attract new customers for a small business, and how can they be maintained?"
Paano kaya ito maipapaliwanag?,1,,How can this be explained?
Paano kaya nakatakas si Tom?,1,,How could Tom escape?
Pagod na ang boses ko kaya basahin mo na lang ang ekspresyon ng mukha ko.,1,,My voice is so tired that you just read the expression on my face.
Pagod siya kaya maaga siyang natulog.,1,,She was so tired that she slept early.
"Pagpapakulo nga ng tubig, hindi ako marunong, pagleletson ng pabo pa kaya.",1,,"I was boiling water, I was not smart, I was still a turkey."
"Palagi mo siyang nililibre samantala ako, kailan kaya?",1,,"You always exemplify him while I am, when is it?"
"Palagi siyang malungkot, kaya hindi siya ngumingiti.",1,,"She was always sad, so she didn't smile."
Palaging nagdadala si Maria ng pagkain na higit pa sa kaya niyang kainin.,2,,Mary always brings food more than she can eat.
Panahon ngayon ng kabute kaya mura.,1,,Today's mushroom season is so cheap.
Parang ayaw kong magtrabaho. Ano kaya kung pumunta tayo sa sinehan?,1,,It was like I didn't want to work. What if we went to the movie theater?
Parang ayokong magtrabaho ngayon; manood na lang kaya tayo ng pelikula?,1,,It seems like I don't want to work now; Can we just watch a movie?
"Parang isang kudlit ng buhangin lamang ang Tiyera, kaya umiiyak ang babae.",1,,"The aunt was just like a sandy, so the girl was crying."
"Parang wala kang pamilya, kaya pinag-uusapan mo ang pamilya ko.",1,,"You don't have a family, so you're talking about my family."
"Parati kang inuutusan, kaya ganyan ang isip mo.",1,,"You are always commanded, so that's your mind."
"Pareho silang manhid, kaya hindi nila napapansin kapag may nasasaktan na silang iba.",1,,"They are both numb, so they do not notice when they are hurting others."
"Pinag-aaralan ang isang wika dahil sa nakikitang halaga ng prestihiyo nito. Kung gusto mo ng mga pabango, malamang na mahilig ka sa Pranses. Kung mahilig ka sa musikang rock, malamang na mahilig ka sa Ingles. Gusto ko ang ligaw na kalikasan, kaya gusto ko ang mga katutubong wika ng Australia at Amerika.",1,,"A language is studied because of its visible value of prestige. If you like perfumes, you probably love French. If you love rock music, you probably love English. I like the wild nature, so I like the native languages ​​of Australia and America."
Pipirmahan kaya ni Tom ang kontrata?,1,,Will Tom sign the contract?
Pumunta ka kung kaya mo!,2,,Go if you can!
Pumunta kaya tayo sa sinehan?,1,,Are we going to the movie theater?
"Sa Brazil, gusto kong bisitahin ang Rio de Janeiro, habang sinasanay ko ang aking Portuges sa puntong Carioca. Gusto ko ang bisyon ng Brasilia, kaya gusto kong bisitahin ang kabesera. Gusto ko ring bisitahin ang Manaus, ang tanging lungsod sa Maulang Gubat ng Amazong may higit sa isang milyong mga naninirahan. Ang Amazon ay may malagong ekosistema. Ang Brazil ay nasa aking listahan.",1,,"In Brazil, I like to visit Rio de Janeiro, as I train my Portuguese at the point of Carioca. I like the vision of Brasilia, so I want to visit the capital. I would also like to visit Manaus, the only city in the rained forest of Amazong with more than one million inhabitants. Amazon has a new ecosystem. Brazil is on my list."
"Sa gabing pasado nang 17:00 nang ika-20 ng Oktubre ng 2023, lakad ako sa labas at nakita kong naninigarilyo ang mga kapitbahay na si Rochelle at si Al. Tumawid ako sa harap ng pizzeria, pero puno nang tao, kaya dumalaw na lamang ako sa Istarbak. Nag-isang sako ako ng patatas na tsip. Naubusan na raw sila nang abenang gatas na latte, yaong gusto ko sana, ang sabi ni Denise na Pilipinang barista. Naroon din ang baristang si Chase na mestisong Tsino-Ingles. Naroon din ang Anglo-Sahong si Peter na nagtanim daw ng mga kamatis sa labas ng Istarbak, at namumunga nang malaki ngayon. Nakaupo sa bar si Chen, yaong Tsinong tabatsoy na mukhang militar. Bumalik ako sa pizzeria naman para magkolang pangdiyeta. Naroon ang mga tinderang si Agaccha at si Navjot na parehong Taga-Indiya. Nasa ismartpon si Tharsan, yaong pizzeriang may-aring may lahing Taga-Sri Lanka. May Sikh na dilaw ang turbang nakaupo sa sulok. May dala siyang malaking papel na sakong may markang Levi's. May dumalaw na mukhang Hispanikang nanay na may apat na batang nakasuot nang pang-Halloween: isang Spider-Man, isang Captain America, isang matabang bruhang nakaitim, at isang prinsesang nakaasul at puti. Maaga ang Halloween natin.",1,,"On the night at 17:00 pm on October 20, 2023, I walked outside and saw neighbors Rochelle and Al. I crossed in front of the pizzeria, but was full of people, so I just visited the sting. I was one sack of potato chip. They have just run out of latte milk, which I wish, Denise said the Filipino barista. Barist Chase was also there Chinese-English. The Anglo-Sunan Peter was also there to plant tomatoes outside the sting, and bear fruit now. Chen was sitting at the bar, the Chinese Tabatoy who looked like a military. I went back to the pizzeria for a diet. There were the shopkeepers Agaccha and Navjot, both Indians. Tharsan, the pizzerian of a Sri Lanka, is on the basis. The turb is sitting in the corner. He had a large paper on Levi's marked heel. There is a visit that looks like a mother with four children in Halloween: a Spider-Man, a Captain America, a fertile black, and a white and white prince. Our Halloween is early."
"Sa palagay mo, babalikan kaya nila ako?",1,,Do you think they'll come back to me?
"Sa sobrang saya ko, pakiramdam ko kaya kong lumipad.",2,,"To my great delight, I could feel that I could fly."
"Sa tingin 'nyo , buhay pa kaya si Tom?",1,,Do you think Tom is still alive?
"Sa tingin 'nyo , naaalala pa kaya ako ni Tom?",1,,Do you think Tom still remembers me?
"Sa tingin 'nyo kaya, nakakain ang mga alakdan?",1,,Do you think the scorpions are edible?
"Sa tingin 'nyo, buhay pa kaya si Tom?",1,,Do you think Tom is still alive?
"Sa tingin 'nyo, naaalala pa kaya ako ni Tom?",1,,Do you think Tom still remembers me?
"Sa tingin kaya ninyo, nakakain ang mga alakdan?",1,,Do you think scorpions are edible?
Sa tingin ko kaya ko itong ipaliwanag.,2,,I think I can explain it.
Sa tingin ko kaya mong magtagumpay.,2,,I think you can succeed.
Sa tingin ko kaya ninyo kaming tulungan.,2,,I think you can help us.
Sa tingin ko kaya ninyong tumulong sa amin.,2,,I think you can help us.
Sa tingin mo ba kaya mo akong takasan?,2,,Do you think you can escape me?
Sa tingin mo kaya isa itong patibong?,1,,Do you think it's a trap?
Sa tingin mo kaya mong gawin nang mas maayos?,2,,Do you think you can do it better?
Sa tingin mo kaya mong gawin nang mas magaling?,2,,Do you think you can do better?
"Sa tingin mo kaya, nakakain ang mga alakdan?",1,,Do you think scorpions are edible?
"Sa tingin mo, buhay pa kaya si Tom?",1,,Do you think Tom is still alive?
"Sa tingin mo, gaano kaya kabigat si Tom?",1,,Do you think Tom is so serious?
"Sa tingin mo, naaalala pa kaya ako ni Tom?",1,,Do you think Tom still remembers me?
"Sa tingin mo, uulan kaya ngayon?",1,,Do you think it's raining now?
"Sa tingin ninyo, buhay pa kaya si Tom?",1,,Do you think Tom is still alive?
"Sa tingin ninyo, gaano kaya kabigat si Tom?",1,,Do you think Tom is so serious?
"Sa tingin ninyo, naaalala pa kaya ako ni Tom?",1,,Do you think Tom still remembers me?
"Sa tingin niya, kaya niyang ipakita.",2,,He thinks he can show.
"Sa tingin niya, kaya niyang patunayan.",2,,He thinks he can prove it.
Saan kaya ako pupunta?,1,,Where can I go?
Saan kaya naglalaro ng tenis si Tom?,1,,Where did Tom play tenis?
Saan kaya natututunan ng mga eksorsista ang pagsasagawa ng eksorsismo?,1,,Where do exorsists learn to perform exorcism?
"Sabi ng aming guro, ""Siyempre naman, kaya mo.""",2,,"Our teacher said, ""Of course, you can."""
Sabi ni Tom akala niya na kaya niyang manalo.,2,,Tom said he thought he could win.
Sabi nila na hindi kaya.,2,,They say they can't.
Sabi niya pagod daw siya kaya uuwi siya nang maaga.,1,,He said he was tired so he would go home early.
Sana kaya kong lumipad.,2,,I wish I could fly.
Sana kaya kong kumanta kagaya mo!,2,,I wish I could sing like you!
Sana kaya kong kumanta kagaya ninyo!,2,,I wish I could sing like you!
Si Tom lang ang kaya kong pagkatiwalaan.,2,,Tom is the only one I can trust.
Sigurado akong kaya kong talunin si Tom.,2,,I'm sure I can beat Tom.
"Sila ang mga magulang ng tatay ko, kaya sila ang lolo at lola ko sa ama.",1,,"They are my dad's parents, so they are my grandparents' grandparents."
Sinabi ng kapwa magkapatid na lalaki na hindi nila kayang buhayin ang asawa at eroplano kaya nagpasiya sila na manatiling binata na lang.,1,,Both brothers said they could not live with the wife and planes so they decided to stay young.
Sinabi ni Mary na sa tingin niya kaya niyang manalo.,2,,Mary says she thinks she can win.
Sinasabi nilang kaya nila iyan.,2,,They say they can do that.
Sino kaya ang unang makakatuklas kung nasaan ang bangkay?,1,,Who would first discover where the body was?
"Sinusubukan kitang kalimutan, pero hindi ko kaya.",2,,"I'm trying to forget you, but I can't."
"Sinusubukan kong kalimutan ka, pero hindi ko kaya.",2,,"I'm trying to forget you, but I can't."
"Sira ang mga transmisor, kaya wala kaming nasasagap na signal.",2,,"The transmisors are broken, so we have no signals."
"Sira ang mga transmisor, kaya wala tayong nasasagap na signal.",1,,"Transmisors are broken, so we have no signals."
Sobra niyang binabaluktot ang katawan niya habang nagtatrabaho kaya siya nagretiro dahil sa problema sa gulugod.,1,,He was so distorted his body as he worked that he was retiring because of the spine problem.
"Sobrang abala ako, kaya malamang hindi ako makakapunta bukas.",1,,"I was so busy, so I probably won't be able to go tomorrow."
